LineName,TrainNumber,StationCode,Direction,Destination
R,1,R13,backward,R01
R,2,R08,backward,R01
R,3,R27,forward,R43
R,4,R23,forward,R43
B,5,B16,forward,B44
B,6,B21,forward,B44
B,7,B31,backward,B01
B,8,B35,backward,B01
G,9,G30,backward,G01
G,10,G25,backward,G01
G,11,G03,forward,G33
G,12,G02,backward,G01
