LineName,TrainNumber,StationCode,Direction,Destination
R,1,R13,backward,R01
R,2,R08,backward,R01
R,3,R34,forward,R43
R,4,R30,forward,R43
B,5,B14,backward,B01
B,6,B09,backward,B01
B,7,B33,forward,B44
B,8,B29,forward,B44
G,9,G13,forward,G33
G,10,G18,forward,G33
G,11,G23,backward,G01
G,12,G27,backward,G01
