LineName,TrainNumber,StationCode,Direction,Destination
R,1,R37,forward,R43
R,2,R42,forward,R43
R,3,R04,backward,R01
R,4,R08,backward,R01
B,5,B36,forward,B44
B,6,B41,forward,B44
B,7,B07,backward,B01
B,8,B11,backward,B01
G,9,G05,backward,G01
G,10,G01,forward,G33
G,11,G27,forward,G33
G,12,G23,forward,G33
