LineName,TrainNumber,StationCode,Direction,Destination
R,1,R09,backward,R01
R,2,R04,backward,R01
R,3,R32,forward,R43
R,4,R28,forward,R43
B,5,B21,forward,B44
B,6,B26,forward,B44
B,7,B28,backward,B01
B,8,B32,backward,B01
G,9,G03,backward,G01
G,10,G03,forward,G33
G,11,G28,forward,G33
G,12,G24,forward,G33
