LineName,TrainNumber,StationCode,Direction,Destination
R,1,R16,forward,R43
R,2,R21,forward,R43
R,3,R29,backward,R01
R,4,R33,backward,R01
B,5,B09,backward,B01
B,6,B04,backward,B01
B,7,B39,forward,B44
B,8,B35,forward,B44
G,9,G06,backward,G01
G,10,G01,backward,G01
G,11,G28,forward,G33
G,12,G24,forward,G33
