LineName,TrainNumber,StationCode,Direction,Destination
R,1,R22,forward,R43
R,2,R27,forward,R43
R,3,R23,backward,R01
R,4,R27,backward,R01
B,5,B01,backward,B01
B,6,B05,forward,B44
B,7,B42,backward,B01
B,8,B43,forward,B44
G,9,G20,backward,G01
G,10,G15,backward,G01
G,11,G14,forward,G33
G,12,G10,forward,G33
