LineName,TrainNumber,StationCode,Direction,Destination
R,1,R26,forward,R43
R,2,R31,forward,R43
R,3,R14,backward,R01
R,4,R18,backward,R01
B,5,B12,forward,B44
B,6,B17,forward,B44
B,7,B29,backward,B01
B,8,B33,backward,B01
G,9,G26,backward,G01
G,10,G21,backward,G01
G,11,G05,forward,G33
G,12,G01,forward,G33
