LineName,TrainNumber,StationCode,Direction,Destination
R,1,R21,forward,R43
R,2,R26,forward,R43
R,3,R19,backward,R01
R,4,R23,backward,R01
B,5,B07,forward,B44
B,6,B12,forward,B44
B,7,B34,backward,B01
B,8,B38,backward,B01
G,9,G31,backward,G01
G,10,G26,backward,G01
G,11,G01,backward,G01
G,12,G05,backward,G01
