LineName,TrainNumber,StationCode,Direction,Destination
R,1,R39,backward,R01
R,2,R34,backward,R01
R,3,R03,backward,R01
R,4,R07,backward,R01
B,5,B43,backward,B01
B,6,B38,backward,B01
B,7,B06,backward,B01
B,8,B10,backward,B01
G,9,G02,backward,G01
G,10,G04,forward,G33
G,11,G28,forward,G33
G,12,G24,forward,G33
