LineName,TrainNumber,StationCode,Direction,Destination
R,1,R39,backward,R01
R,2,R34,backward,R01
R,3,R02,backward,R01
R,4,R06,backward,R01
B,5,B28,forward,B44
B,6,B33,forward,B44
B,7,B21,backward,B01
B,8,B25,backward,B01
G,9,G02,forward,G33
G,10,G07,forward,G33
G,11,G32,backward,G01
G,12,G31,forward,G33
