LineName,TrainNumber,StationCode,Direction,Destination
R,1,R05,backward,R01
R,2,R01,forward,R43
R,3,R32,forward,R43
R,4,R28,forward,R43
B,5,B16,backward,B01
B,6,B11,backward,B01
B,7,B21,forward,B44
B,8,B17,forward,B44
G,9,G18,backward,G01
G,10,G13,backward,G01
G,11,G10,forward,G33
G,12,G06,forward,G33
